Site,SA,SA_binary,date,year,Julian_day,shrub_biomass,drainage_class,canopy_cover,basal_area
WO_70,WO,1,2017-07-23,2017,204,141.35,upland,10.3,5.3
WO_71,WO,1,2017-07-24,2017,205,28.76,upland,54.4,28.6
WO_72,WO,1,2017-07-24,2017,205,253.17,upland,3.3,6.9
WO_73,WO,1,2017-07-24,2017,205,189.58,upland,49.5,16.4
WO_74,WO,1,2017-07-24,2017,205,0.42,upland,54.9,34
WO_75,WO,1,2017-07-24,2017,205,80.5,lowland,21.1,17.9
WO_76,WO,1,2017-07-25,2017,206,65.25,upland,38.4,17.2
WO_77,WO,1,2017-07-25,2017,206,18.34,upland,55.5,33.6
WO_78,WO,1,2017-07-25,2017,206,616.75,upland,0.3,1.1
WO_79,WO,1,2017-07-28,2017,209,61.5,upland,23.6,30.2
WO_8,WO,1,2017-06-22,2017,173,6.44,lowland,58.1,27.5
WO_80,WO,1,2017-07-28,2017,209,305.09,upland,78.4,12.2
WO_81,WO,1,2017-07-29,2017,210,120.92,upland,50.8,43.5
WO_82,WO,1,2017-07-29,2017,210,224.85,upland,75.3,21.4
WO_83,WO,1,2017-07-29,2017,210,49.17,lowland,15.5,11.1
WO_84,WO,1,2017-07-29,2017,210,10.92,upland,50.7,61.1
WO_85,WO,1,2017-07-29,2017,210,26.04,lowland,59.1,28.6
WO_86,WO,1,2017-07-30,2017,211,108.26,lowland,27.7,17.6
WO_87,WO,1,2017-07-30,2017,211,12.33,upland,53.1,16.4
WO_88,WO,1,2017-07-30,2017,211,120.18,upland,37.6,27.5
WO_9,WO,1,2017-06-22,2017,173,16.77,upland,19.6,10.7
WO_90,WO,1,2017-07-31,2017,212,96.42,lowland,4.8,8.8
WO_91,WO,1,2017-07-31,2017,212,10.77,upland,59.9,45.8
WO_92,WO,1,2017-07-31,2017,212,154.93,lowland,0,0
WO_93,WO,1,2017-08-01,2017,213,9.58,lowland,54.8,18.8
WO_94,WO,1,2017-08-01,2017,213,3.42,upland,75.3,32.1
WO_95,WO,1,2017-08-04,2017,216,198.93,lowland,0,0
WO_96,WO,1,2017-08-04,2017,216,53.27,upland,42.4,9
WO_97,WO,1,2017-08-04,2017,216,5.75,lowland,67.6,25.2
WO_98,WO,1,2017-08-05,2017,217,573.2,upland,52,3.2
WO_99,WO,1,2017-08-05,2017,217,431.01,upland,49.1,8.4
